assists, ats margin, ats streak, attendance, blocks, coach, conference, date, day, defensive rebounds, dpa, dps, field goals attempted, field goals made, fouls, free throws attempted, free throws made, full name, game number, half scores, line, losses, margin, margin at the half, matchup losses, matchup wins, minutes, month, offensive rebounds, officials, opponents, ou margin, ou streak, overtime, points, rank, rebounds, rest, rival, school name, season, site, site streak, start time, steals, streak, subconference, team, three pointers attempted, three pointers made, time of game, total, tournament, turnovers, venuecap, wins
23,,0,3429,4,James Whitford,MIDAM,20191105,Tuesday,37,,,64,33,8,18,9,,1,[41, 46],,0,44,25,0,0,,11,9,,[],,0,0,87,,46,,,Ball St.,2019,home,0,,7,0,,BALLST,33,12,,,,10,,0
8,,0,3429,0,,,20191105,Tuesday,24,,,59,17,18,9,4,,1,[16, 27],,0,-44,-25,0,0,,11,6,,[],,0,0,43,,30,,,Defiance,2019,away,0,,5,0,,DEF,29,5,,,,15,,0
6,-11.500,0,1292,5,Tubby Smith,BIGS,20191105,Tuesday,25,-2.000,-13.500,63,20,16,21,14,,1,[21, 35],2.500,0,-14,-9,0,0,,11,10,,[],-15.500,0,0,56,,35,,,High Point,2019,home,0,,5,0,,HIGHP,12,2,,141.500,,11,,0
15,11.500,0,1292,4,Dane Fischer,CAA,20191105,Tuesday,33,-13.500,-2.000,56,24,14,20,14,,1,[30, 40],-2.500,0,14,9,0,0,,11,6,,[],-15.500,0,0,70,,39,,,William & Mary,2019,away,0,,4,0,,WMMRY,24,8,,141.500,,15,,0
14,,0,2994,2,CB Mcgrath,CAA,20191105,Tuesday,31,,,73,36,12,31,20,,1,[54, 49],,0,20,13,0,0,,11,12,,[],,0,0,103,,43,,,NCWilmington,2019,home,0,,12,0,,NCWIL,30,11,,,,14,,0
12,,0,2994,2,,,20191105,Tuesday,28,,,74,33,24,8,5,,1,[41, 42],,0,-20,-13,0,0,,11,10,,[],,0,0,83,,38,,,Johnson & Wales (NC),2019,away,0,,9,0,,JWNC,31,12,,,,23,,0
11,-4.500,0,1171,4,Joe Jones,PAT,20191105,Tuesday,23,-1.000,-5.500,55,27,15,12,5,,1,[33, 34],0.500,0,-5,1,0,0,,11,7,,[],-6.500,0,0,67,,30,,,Boston U,2019,home,0,,5,0,,BU,26,8,,145.500,,15,,0
10,4.500,0,1171,1,Bill Coen,CAA,20191105,Tuesday,23,-5.500,-1.000,55,28,18,14,11,,1,[32, 40],-0.500,0,5,-1,0,0,,11,5,,[],-6.500,0,0,72,,28,,,Northeastern,2019,away,0,,10,0,,NE,16,5,,145.500,,12,,0
18,-3.500,0,2475,7,Tim Craft,BIGS,20191105,Tuesday,23,-4.000,-7.500,57,22,18,14,9,,1,[36, 27],3.500,0,-7,-1,0,0,,11,11,,[],-11.500,0,0,63,,34,,,GardnerWebb,2019,home,0,,6,0,,GARDW,24,10,,144.500,,16,,0
12,3.500,0,2475,4,Bob Richie,S,20191105,Tuesday,23,-7.500,-4.000,54,25,14,18,14,,1,[37, 33],-3.500,0,7,1,0,0,,11,7,,[],-11.500,0,0,70,,30,,,Furman,2019,away,0,,7,0,,FURM,25,6,,144.500,,12,,0
9,1.500,0,1063,3,Jay Young,MAAC,20191105,Tuesday,27,-8.000,-6.500,59,24,16,20,14,,1,[33, 31],5.500,0,-4,0,0,0,,11,10,,[],-14.500,0,0,64,,37,,,Fairfield,2019,home,0,,3,0,,FAIRF,12,2,,146.500,,12,,0
14,-1.500,0,1063,5,Nathan Davis,PAT,20191105,Tuesday,26,-6.500,-8.000,55,22,20,17,14,,1,[33, 35],-5.500,0,4,0,0,0,,11,4,,[],-14.500,0,0,68,,30,,,Bucknell,2019,away,0,,4,0,,BUCK,23,10,,146.500,,13,,0
12,-8.000,0,621,3,Brett Reed,PAT,20191105,Tuesday,27,-6.500,-14.500,59,24,16,9,6,,1,[32, 30],-4.000,0,-4,-9,0,0,,11,8,,[],-21.000,0,0,62,,35,,,Lehigh,2019,home,0,,6,0,,LEHI,17,8,,149.000,,17,,0
16,8.000,0,621,6,King Rice,MAAC,20191105,Tuesday,27,-14.500,-6.500,59,24,12,16,10,,1,[41, 25],4.000,0,4,9,0,0,,11,8,,[],-21.000,0,0,66,,35,,,MonmouthNJ,2019,away,0,,7,0,,MONNJ,19,8,,149.000,,16,,0
15,5.500,0,815,3,Juan Dixon,MEAC,20191105,Tuesday,26,8.250,13.750,74,28,28,24,18,,1,[44, 40],12.500,0,-7,7,0,0,,11,10,,[],22.000,0,0,84,,36,,,Coppin St.,2019,home,0,,11,0,,COPST,39,10,,153.000,,14,,0
17,-5.500,0,815,0,Kevin Baggett,MAAC,20191105,Tuesday,36,13.750,8.250,62,30,19,35,24,,1,[37, 54],-12.500,0,7,-7,0,0,,11,10,,[],22.000,0,0,91,,46,,,Rider,2019,away,0,,7,0,,RIDER,19,7,,153.000,,24,,0
7,0.500,0,4014,1,Earl Grant,CAA,20191105,Tuesday,32,-7.500,-7.000,56,25,15,28,21,,1,[36, 38],-18.500,0,19,3,0,0,,11,8,,[],-14.500,0,0,74,,40,,,Charleston,2019,home,0,,6,0,,CHARL,18,3,,143.500,,10,,0
5,-0.500,0,4014,3,Dave Dickerson,BIGS,20191105,Tuesday,22,-7.000,-7.500,56,20,23,15,9,,1,[33, 22],18.500,0,-19,-3,0,0,,11,7,,[],-14.500,0,0,55,,29,,,South Carolina Upstate,2019,away,0,,3,0,,SCSPAR,20,6,,143.500,,12,,0
25,,0,1599,2,Martin Ingelsby,CAA,20191105,Tuesday,29,,,67,39,18,9,6,,1,[55, 42],,0,46,29,0,0,,11,13,,[],,0,0,97,,42,,,Delaware,2019,home,0,,10,0,,DELA,29,13,,,,13,,0
9,,0,1599,0,,,20191105,Tuesday,14,,,50,16,13,21,11,,1,[26, 25],,0,-46,-29,0,0,,11,8,,[],,0,0,51,,22,,,Bridgewater (VA),2019,away,0,,7,0,,BRDVA,23,8,,,,19,,0
22,,0,222,5,Bill Herrion,AE,20191105,Tuesday,41,,,67,38,9,14,10,,1,[53, 40],,0,64,45,0,0,,11,14,,[],,0,0,93,,55,,,New Hampshire,2019,home,0,,5,0,,NH,23,7,,,,16,,0
5,,0,222,1,,,20191105,Tuesday,10,,,60,9,18,6,5,,1,[8, 21],,0,-64,-45,0,0,,11,7,,[],,0,0,29,,17,,,Curry,2019,away,0,,7,0,,CURRY,30,6,,,,15,,0
17,10.000,0,2068,5,Billy Lange,A10,20191105,Tuesday,19,4.000,14.000,62,26,14,32,28,,1,[43, 43],5.000,0,5,-2,0,0,,11,9,,[],18.000,0,0,86,,28,,,St. Joseph&#39;s (PA),2019,home,0,,7,0,,STJOE,31,6,,149.000,,16,,0
17,-10.000,0,2068,6,Brian Wardle,MISSV,20191105,Tuesday,22,14.000,4.000,77,30,28,15,12,,1,[45, 36],-5.000,0,-5,2,0,0,,11,16,,[],18.000,0,0,81,,38,,,Bradley,2019,away,0,,7,0,,BRAD,20,9,,149.000,,14,,0
11,0.500,0,10050,2,Travis Steele,BE,20191105,Tuesday,29,2.500,3.000,60,29,15,24,14,,1,[43, 33],-18.500,0,19,21,0,0,,11,10,,[],5.500,0,0,76,19,39,,,Xavier,2019,home,0,,10,0,POWER6,XAVER,23,4,,127.500,,11,,0
10,-0.500,0,10050,1,Tony Jasick,ASUN,20191105,Tuesday,26,3.000,2.500,56,23,19,12,6,,1,[22, 35],18.500,0,-19,-21,0,0,,11,5,,[],5.500,0,0,57,,31,,,Jacksonville,2019,away,0,,7,0,,JCKSN,21,5,,127.500,,17,,0
17,4.000,0,4027,7,Joe Dooley,AAC,20191105,Tuesday,26,-2.750,1.250,58,31,15,24,14,,1,[36, 44],-8.000,0,12,-2,0,0,,11,11,,[],-1.500,0,0,80,,37,,,East Carolina,2019,home,0,,4,0,,ECAR,12,4,,149.500,,13,,0
