average kickoff return, average kickoff return yards, kickoff return touchdowns, kickoff returns, longest kickoff return, name
10.000,,0,1,10,Mike Furrey
21.000,,0,3,25,Chris Barclay
24.000,,0,1,24,Michael Griffin
22.000,,0,3,27,Andre Davis
7.000,,0,1,7,Kevin Walter
18.000,,0,1,18,Luke Lawton
22.000,,0,1,22,TJ Rushing
21.000,,0,2,25,Matt Jones
0.000,,0,1,0,Derek Landri
20.000,,0,1,20,Scott Starks
24.000,,0,8,30,Ted Ginn
0.000,,0,1,0,Marty Booker
21.000,,0,3,36,Leon Washington
9.000,,0,1,9,David Bowens
19.000,,0,3,25,Jeff Webb
14.000,,0,1,14,Turk McBride
6.000,,0,1,6,Bobby Sippio
20.000,,0,2,24,Darren Sproles
22.000,,0,1,22,Antonio Cromartie
31.000,,0,3,35,Correll Buckhalter
19.000,,0,1,19,Reno Mahe
31.000,,0,1,31,JR Reed
15.000,,0,4,25,Nate Burleson
17.000,,0,1,17,Josh Wilson
20.000,,0,2,23,Ryne Robinson
23.000,,0,6,41,Maurice Hicks
16.000,,0,5,32,Lance Moore
10.000,,0,2,10,David Patten
22.000,,0,4,26,Michael Clayton
29.000,,0,4,59,Steve Breaston
10.000,,0,3,26,Josh Cribbs
7.000,,0,2,8,Darnell Dinkins
10.000,,0,1,10,Jason Wright
28.000,,0,3,38,Chris Carr
11.000,,0,3,15,Taylor Jacobs
15.000,,0,2,22,Cecil Sapp
9.000,,0,1,9,Selvin Young
10.000,,0,1,10,Rashied Davis
19.000,,0,1,19,Devin Hester
18.000,,0,3,24,Ahmad Bradshaw
17.000,,0,1,17,Reuben Droughns
13.000,,0,2,16,Allen Rossum
0.000,,0,0,0,Matt Spaeth
20.000,,0,4,28,Glenn Holt
8.000,,0,1,8,Reggie Kelly
20.000,,0,5,38,Yamon Figurs
20.000,,0,3,27,Ellis Hobbs
13.000,,0,1,13,Heath Evans
17.000,,0,3,20,Rock Cartwright
8.000,,0,1,8,Todd Yoder
15.000,,0,4,23,Devin Hester
19.000,,0,2,22,Matt Jones
22.000,,0,3,27,Ryne Robinson
25.000,,0,1,25,Dante Rosario
27.000,,0,3,36,Aveion Cason
13.000,,0,1,13,Brandon Middleton
11.000,,0,1,11,Blaine Saipaia
37.000,,0,3,60,Miles Austin
16.000,,0,2,19,Nate Jones
11.000,,0,1,11,Tony Curtis
11.000,,0,1,11,Fred Jackson
38.000,,0,1,38,Terrence McGee
0.000,,0,1,0,George Wilson
17.000,,0,3,28,Ted Ginn
12.000,,0,2,14,Derek Hagan
0.000,,0,1,0,Steve Fifita
4.000,,0,1,4,Reagan Mauia
21.000,,0,3,25,JR Reed
9.000,,0,1,9,Correll Buckhalter
24.000,,0,3,35,Ahmad Bradshaw
16.000,,0,1,16,Reuben Droughns
15.000,,0,2,24,Koren Robinson
17.000,,0,6,22,Chris Carr
11.000,,0,1,11,Justin Griffith
17.000,,0,4,39,Chad Jackson
20.000,,0,6,24,Allen Rossum
10.000,,0,1,10,Nick Eason
23.000,,0,4,29,Chris Barclay
22.000,,0,2,26,Antonio Cromartie
26.000,,0,1,26,Michael Turner
22.000,,0,3,26,Glenn Holt
18.000,,0,6,22,Marques Hagans
57.000,,1,2,97,Andre Davis
28.000,,0,4,45,Micheal Spurlock
21.000,,0,1,21,Michael Clayton
14.000,,0,3,25,Nate Burleson
0.000,,0,0,0,Kevin Bentley
25.000,,0,6,33,Steve Breaston
34.000,,0,5,55,Maurice Hicks
22.000,,0,1,22,Aundrae Allison
11.000,,0,4,29,Leon Washington
15.000,,0,1,15,Brad Smith
25.000,,0,2,31,Josh Cribbs
4.000,,0,2,9,Joe Jurevicius
19.000,,0,1,19,Andre Hall
23.000,,0,1,23,Glenn Martinez
16.000,,0,5,32,Benny Sapp
6.000,,0,1,6,Turk McBride
21.000,,0,1,21,Jeff Webb
28.000,,1,7,94,Yamon Figurs
17.000,,0,3,22,TJ Rushing
20.000,,0,1,20,Luke Lawton
24.000,,0,3,31,Jerious Norwood
19.000,,0,1,19,Pierre Thomas
29.000,,0,4,50,Andre Davis
26.000,,0,4,30,Glenn Martinez
23.000,,0,3,30,Maurice Hicks
30.000,,0,1,30,Michael Robinson
15.000,,0,5,21,Glenn Holt
20.000,,0,5,24,Pierre Thomas
23.000,,0,4,28,Steve Breaston
49.000,,1,2,90,Micheal Spurlock
23.000,,0,4,31,Adam Jennings
16.000,,0,2,19,Jerious Norwood
22.000,,0,5,43,Ted Ginn
14.000,,0,1,14,Yamon Figurs
0.000,,0,0,0,Quinn Sypniewski
26.000,,0,1,26,Josh Cribbs
16.000,,0,2,17,Jim Leonhard
18.000,,0,1,18,Terrence McGee
20.000,,0,6,21,Derek Stanley
43.000,,0,3,66,Koren Robinson
21.000,,0,2,29,Najeh Davenport
9.000,,0,2,15,Allen Rossum
18.000,,0,2,19,Matt Jones
18.000,,0,1,18,Scott Starks
19.000,,0,3,27,Ellis Hobbs
26.000,,0,5,49,Leon Washington
16.000,,0,1,16,Geoff Hangartner
0.000,,0,1,0,Richard Marshall
22.000,,0,2,31,Nate Burleson
16.000,,0,6,23,Benny Sapp
39.000,,0,1,39,Eddie Drummond
19.000,,0,2,26,Chris Barclay
29.000,,0,5,36,Chris Carr
24.000,,0,3,36,TJ Rushing
21.000,,0,3,29,Darren Sproles
16.000,,0,9,23,Aveion Cason
6.000,,0,1,6,Casey Fitzsimmons
24.000,,0,2,27,Nate Jones
12.000,,0,1,12,Pat McQuistan
26.000,,0,3,34,JR Reed
