name, rushes, rushing touchdowns, rushing yards
T Levy,5,0,20
A Brown,4,0,19
M Valecce,1,0,-1
J Mancuso,10,0,70
S Smith,10,0,66
X Goodall,7,0,36
B English,7,0,21
D Campbell,3,0,18
A Dykes,5,0,8
C Cloud,1,0,1
D Perry,1,0,-5
L Dixon,11,1,79
T Etienne,16,0,53
D Rencher,1,0,1
T Lawrence,4,1,-11
J Corbin,13,0,34
I Spiller,7,0,24
K Mond,5,0,1
J Mangham,11,2,44
A Fontenot,10,0,42
J Jackson,1,0,14
D Stanley,1,0,8
L Shenault Jr,3,0,6
K Nixon,1,0,-3
T Brown,1,0,-4
S Montez,8,0,-17
M Washington,15,0,77
A Martinez,19,2,66
D Mills,8,0,24
W Robinson,2,0,9
J Spielman,1,0,8
K Mensah,14,1,27
A Thompkins,8,0,14
J Zergiotis,7,0,-31
J Norwood,6,0,62
D Brown,9,0,33
R Bonner,10,0,19
B Peters,6,0,16
K Sims,1,0,13
D Stampley,1,0,-10
M Kinsey,13,0,89
D Wright,1,1,33
M McElroy,7,0,31
J Thomas,5,0,27
C Hunter,4,0,7
J McCoy,2,0,3
C Hill,4,0,-1
K Walker,9,0,65
C Ratkovich,7,0,32
T Tate,4,0,18
J Drake,1,0,0
C Sampson,7,0,-51
Q Harris,13,1,83
D Jackson,16,0,71
J Coleman,5,0,34
M Durant,9,1,15
B Brown,3,0,7
J Martin,10,1,82
K Carter,9,0,54
K Baker,5,0,11
W Simpson,1,0,2
D Graves,1,0,-3
J Fowler,2,0,-6
D Pinnix,21,2,134
D Mauney,13,0,107
H Ahlers,10,2,78
J Hatfield,2,0,27
R Herring,1,1,10
H Howe,4,0,9
J Cagle,12,0,40
D Brown,4,0,7
