batters faced, earned runs, era, fly balls, ground balls, hit batters, hits allowed, home runs allowed, innings pitched, name, order, pitches, result, runs allowed, strike outs thrown, strikes, walks allowed
3,0,0.000,1,2,[],0,0,1.000,Jim Mecir,5,11,,0,0,7,0
3,0,0.000,1,0,[],1,0,0.333,Matt Perisho,6,8,,0,0,2,1
6,1,5.400,0,5,[],1,1,1.667,Nate Bump,7,13,L,1,0,6,1
24,1,1.500,6,10,[],7,0,6.000,Mike Hampton,1,93,,1,2,60,3
4,0,0.000,1,1,[],1,0,1.333,Kevin Gryboski,2,14,,0,1,9,0
4,0,0.000,1,2,[],0,0,1.000,Chris Reitsma,3,19,,0,0,12,1
3,0,0.000,1,0,[],0,0,1.000,Roman Colon,4,16,,0,1,8,1
3,0,0.000,3,0,[],1,0,1.000,Tom Martin,5,8,,0,0,5,0
8,0,4.500,3,3,['Carlos Delgado'],1,0,2.000,Adam Bernero,6,18,W,0,0,12,0
3,0,0.000,1,2,[],0,0,1.000,Danny Kolb,7,15,S,0,0,5,1
20,5,13.500,3,4,['Charles Thomas', 'Scott Hatteberg'],6,1,3.333,Daniel Cabrera,1,85,L,5,3,49,2
8,0,0.000,1,2,[],0,0,1.667,John Parrish,2,39,,0,2,16,3
10,2,9.000,4,1,[],4,2,2.000,Steve Reed,3,32,,2,1,20,0
3,0,0.000,0,3,[],0,0,1.000,Todd Williams,4,12,,0,0,7,0
6,2,18.000,1,1,[],2,1,1.000,Rick Bauer,5,30,,2,1,16,1
22,0,0.000,9,7,['Luis Matos', 'Miguel Tejada'],1,0,6.000,Kirk Saarloos,1,80,W,0,2,48,1
4,0,0.000,2,1,[],1,0,1.000,Ricardo Rincon,2,12,,0,0,9,0
5,0,0.000,2,0,[],1,0,1.000,Huston Street,3,24,,0,1,14,1
3,0,0.000,2,0,[],0,0,1.000,Octavio Dotel,4,10,,0,1,6,0
27,1,1.350,7,4,[],7,1,6.667,Brett Myers,1,86,,2,7,61,1
2,0,9.000,1,0,[],1,0,0.333,Rheal Cormier,2,5,H,0,0,3,0
5,4,27.000,1,0,[],4,1,0.333,Tim Worrell,3,17,L,4,0,11,0
4,0,0.000,1,0,[],2,0,0.667,Aaron Fultz,4,13,,0,1,9,0
7,1,9.000,0,2,[],2,0,1.000,Terry Adams,5,20,,1,1,8,2
23,3,4.760,4,10,[],5,1,5.667,Zach Day,1,85,,3,3,51,1
1,0,6.750,0,1,[],0,0,0.333,Antonio Osuna,2,2,,0,0,1,0
3,0,0.000,3,0,[],0,0,1.000,Joey Eischen,3,7,W,0,0,5,0
3,0,0.000,0,2,[],0,0,1.000,Luis Ayala,4,8,H,0,1,6,0
4,0,0.000,1,1,[],1,0,1.000,Chad Cordero,5,26,,0,1,16,0
27,6,10.800,6,6,['Damian Miller'],6,2,5.000,Kip Wells,1,104,L,6,3,61,5
7,2,18.000,0,1,['Lyle Overbay'],4,0,1.000,John Grabow,2,22,,2,1,16,0
4,1,9.000,2,1,[],1,0,1.000,Brian Meadows,3,9,,1,0,8,0
3,0,0.000,0,1,[],0,0,1.000,Mike Gonzalez,4,13,,0,2,8,0
5,1,9.000,1,1,[],2,0,1.000,Salomon Torres,5,17,,1,1,13,0
25,2,3.000,9,4,['Kip Wells'],4,1,6.000,Doug Davis,1,106,W,2,5,71,2
7,0,0.000,1,4,['Jack Wilson'],3,0,1.667,Wes Obermueller,2,18,,0,0,13,0
1,0,0.000,0,1,[],0,0,0.333,Tommy Phelps,3,4,,0,0,3,0
4,0,0.000,2,1,[],0,0,1.000,Jorge De La Rosa,4,15,,0,0,8,1
25,3,5.060,10,4,[],9,2,5.333,Eric Milton,1,66,W,3,2,48,0
6,0,0.000,2,1,[],0,0,1.667,Matt Belisle,2,27,H,0,2,16,1
3,0,9.000,1,0,[],0,0,0.667,Kent Mercker,3,17,H,0,1,10,1
0,0,0.000,0,0,[],0,0,0.333,Ryan Wagner,4,3,H,0,0,2,0
6,2,18.000,0,2,[],3,0,1.000,Ben Weber,5,17,,2,1,12,0
22,5,12.270,4,5,[],9,0,3.667,Tom Glavine,1,95,L,5,2,53,3
1,0,0.000,1,0,[],0,0,0.333,Mike Matthews,2,1,,0,0,1,0
5,0,4.500,1,2,[],2,0,1.000,Manny Aybar,3,14,,0,0,8,0
5,0,0.000,1,0,[],1,0,0.667,Dae Sung Koo,4,23,,0,1,10,2
4,0,0.000,0,1,[],0,0,1.333,Roberto Hernandez,5,17,,0,3,10,0
8,4,36.000,1,1,['Adam Dunn'],2,1,1.000,Mike DeJean,6,24,,4,1,13,2
22,4,9.000,5,5,[],7,1,4.000,Jason Jennings,1,103,L,6,1,58,4
9,1,4.500,2,3,[],1,0,2.000,Byung Hyun Kim,2,29,,1,1,16,2
5,5,67.500,0,0,[],2,0,0.000,Allan Simpson,3,25,,5,0,8,3
5,2,36.000,1,1,[],3,0,0.667,Javier Lopez,4,10,,2,0,8,0
1,0,13.500,1,0,[],0,0,0.333,Scott Dohmann,5,5,,0,0,3,0
3,0,0.000,3,0,[],0,0,1.000,Marcos Carvajal,6,9,,0,0,6,0
5,0,0.000,2,0,[],0,0,1.000,Brian Fuentes,7,26,,0,1,15,2
23,3,5.790,3,4,[],6,1,4.667,Adam Eaton,1,108,,5,7,68,2
1,0,0.000,0,1,[],0,0,0.333,Tim Redding,2,6,,0,0,5,0
5,0,4.500,2,0,[],2,0,1.000,Rudy Seanez,3,21,H,0,1,16,0
6,0,0.000,1,2,[],0,0,2.000,Chris Hammond,4,26,W,0,3,18,0
6,1,9.000,1,1,[],3,0,1.000,Darrell May,5,27,,1,1,16,0
21,5,12.270,6,2,[],11,0,3.667,Mike Maroth,1,87,L,5,2,50,0
7,0,0.000,0,5,[],2,0,2.333,Matt Ginter,2,28,,0,1,15,1
4,1,9.000,2,1,[],1,0,1.000,Franklyn German,3,9,,1,0,6,0
5,1,9.000,0,0,[],1,1,1.000,Jamie Walker,4,22,,1,3,14,1
4,0,0.000,0,0,[],0,0,1.000,Kyle Farnsworth,5,19,,0,3,12,1
26,1,1.290,10,7,[],5,0,7.000,Runelvys Hernandez,1,100,W,1,3,61,3
3,0,0.000,1,1,[],0,0,1.000,Mike Wood,2,17,,0,1,11,0
5,1,9.000,2,0,[],1,0,1.000,Jeremy Affeldt,3,17,,1,1,10,1
27,2,3.000,5,7,[],5,0,6.000,Freddy Garcia,1,109,,2,6,58,3
5,0,0.000,0,2,[],1,0,1.000,Neal Cotts,2,23,,0,1,13,1
5,1,6.750,3,0,[],1,0,1.333,Luis Vizcaino,3,12,,1,1,11,0
4,0,0.000,0,0,[],1,0,0.667,Damaso Marte,4,17,W,0,2,8,1
22,0,0.000,12,5,[],4,0,6.000,Kevin Millwood,1,88,,0,1,49,2
2,0,0.000,1,1,[],0,0,0.667,Matt Miller,2,8,H,0,0,6,0
5,0,0.000,0,2,[],1,0,1.333,Arthur Rhodes,3,19,H,0,2,15,0
7,4,108.000,1,0,[],4,2,0.333,Bob Wickman,4,14,L,4,0,8,1
21,4,7.710,5,5,[],3,0,4.667,John Lackey,1,97,,4,4,61,4
5,0,0.000,1,2,[],0,0,1.333,Esteban Yan,2,24,,0,1,14,1
