at bats, average, batting order, doubles, hit by pitchers, hits, home runs, left on base, name, position, rbi, runs, sacrifice flies, strike outs, triples, walks
5,0,9,0,[],0,0,2,Andy Marte,3B,0,0,0,0,0,0
2,500,1,0,[],1,0,1,Johnny Damon,CF,0,1,0,0,0,1
0,0,,0,['Shawn Camp'],0,0,0,Melky Cabrera,CF,0,0,0,0,0,0
4,250,2,0,['Scott Kazmir'],1,0,4,Derek Jeter,SS,2,0,0,1,0,0
5,400,3,0,[],2,0,6,Bobby Abreu,RF,1,2,0,0,0,0
5,400,4,0,[],2,1,2,Alex Rodriguez,3B,2,2,0,1,0,0
5,400,5,0,[],2,0,0,Jason Giambi,DH,3,0,0,1,0,0
3,0,6,0,[],0,0,1,Hideki Matsui,LF,0,0,0,1,0,1
4,500,7,0,[],2,1,3,Jorge Posada,C,1,2,0,0,0,0
4,250,8,0,[],1,0,1,Robinson Cano,2B,0,1,0,1,0,0
0,0,9,0,[],0,0,0,Josh Phelps,1B,0,0,0,0,0,2
1,1000,,0,[],1,0,0,Doug Mientkiewicz,1B,0,1,0,0,0,0
4,500,1,0,[],2,0,2,Carl Crawford,LF,1,1,0,0,0,0
4,0,2,0,[],0,0,2,Ben Zobrist,SS,0,0,0,1,0,0
4,250,3,0,[],1,0,1,Rocco Baldelli,DH,1,1,0,1,0,0
4,250,4,0,[],1,0,2,Ty Wigginton,1B,0,0,0,1,0,0
4,250,5,0,[],1,0,1,Delmon Young,RF,1,0,0,1,0,0
3,333,6,0,[],1,0,1,Akinori Iwamura,3B,0,1,0,0,0,1
4,0,7,0,[],0,0,3,Dioner Navarro,C,0,0,0,1,0,0
3,333,8,0,[],1,1,0,Elijah Dukes,CF,1,1,0,1,0,1
4,500,9,0,[],2,0,0,BJ Upton,2B,1,1,0,1,0,0
3,500,1,0,[],2,0,2,Gary Matthews Jr,CF,1,2,0,0,0,2
5,333,2,0,[],2,0,2,Orlando Cabrera,SS,0,2,0,0,0,0
4,714,3,0,[],4,1,0,Vladimir Guerrero,RF,3,2,0,0,0,1
