assists, blocks, defensive rebounds, field goals attempted, field goals made, fouls, free throws attempted, free throws made, minutes, name, offensive rebounds, plus minus, points, position, rebounds, steals, three pointers attempted, three pointers made, turnovers
2,0,4,7,3,5,1,1,15,Erick Strickland,0,,7,,4,2,1,0,4
,,,,,,,,0,Daniel Santiago,,,,,,,,,
1,0,6,16,6,4,4,2,33,Keith Van Horn,4,,14,F,10,1,1,0,5
,,,,,,,,0,Anthony Goldwire,,,,,,,,,
9,0,3,11,5,4,0,0,39,Maurice Williams,2,,10,G,5,1,0,0,3
2,1,4,10,4,4,5,3,26,Zaza Pachulia,2,,11,,6,0,0,0,0
5,1,2,12,5,3,11,9,33,Richard Jefferson,2,,19,F,4,0,3,0,4
1,1,7,4,2,3,0,0,20,Aaron Williams,0,,4,,7,0,0,0,0
0,0,3,3,2,5,3,2,22,Jason Collins,1,,6,C,4,2,0,0,1
2,0,1,2,0,0,0,0,13,Brian Scalabrine,0,,0,,1,0,1,0,0
0,0,5,9,3,4,3,1,14,Alonzo Mourning,0,,7,,5,0,0,0,3
4,0,0,7,5,1,3,1,21,Zoran Planinic,1,,11,,1,2,0,0,1
1,1,2,11,4,2,1,1,32,Ron Mercer,0,,9,G,2,0,0,0,1
3,0,2,4,2,5,0,0,22,Jacque Vaughn,0,,4,G,2,0,0,0,2
1,0,3,6,0,4,0,0,26,Eric Williams,1,,0,F,4,1,0,0,2
1,0,2,10,2,0,2,2,20,Rodney Buford,2,,8,,4,0,4,2,0
1,0,1,6,3,1,0,0,14,Travis Best,1,,6,,2,0,0,0,0
0,0,0,0,0,1,4,3,3,Nenad Krstic,0,,3,,0,0,0,0,0
6,0,8,9,2,2,4,4,31,Eddie Jones,0,,10,G,8,1,5,2,1
1,2,1,4,2,3,2,2,21,Malik Allen,2,,6,,3,0,0,0,0
3,1,6,13,6,3,2,1,43,Rasual Butler,0,,16,F,6,0,6,3,3
6,0,3,14,7,2,10,7,36,Dwyane Wade,2,,21,G,5,1,0,0,3
1,0,6,9,5,3,0,0,24,Udonis Haslem,2,,10,F,8,0,0,0,1
