interception touchdowns, interception yards, interceptions, name
0,0,1,P Gaines
0,24,1,J Manuel
0,7,1,R Hageman
0,-1,1,J Smith
0,0,1,T Powell
0,35,1,J Gilbert
0,8,1,C Lavey
0,0,1,D Lowe
0,12,1,K White
0,0,1,D Kindred
0,0,1,E Olabode
0,51,1,T Mitchell
0,18,1,A Patterson
0,4,1,D Malone
0,0,1,I Ekpre Olomu
0,20,1,R Vinopal
0,25,2,J Richards
0,0,1,I Adams
0,9,1,T Young
0,0,1,T Matakevich
0,0,1,J Trimble
0,0,1,C Sutton
0,-1,1,W Ryder
0,1,1,R White
0,0,1,R Smith
0,27,1,J Iwuji
0,0,1,K Singleton
0,0,1,J Marshall
0,39,1,S Wiggins
0,1,1,C Moore
0,0,1,A Harris
0,16,1,B Borders
0,49,1,M Noel
0,9,1,A Marshall
0,0,1,D Celiscar
0,0,1,Q Cooper
0,0,1,M Huff
0,28,1,T Matthews
0,0,1,S Barrett
0,0,1,R Hayes
0,13,1,S Thomas
0,47,1,K Byard
0,0,1,D Roberts
0,9,1,S PoVey
0,36,1,J Garrett
0,0,1,T Holder
0,89,1,L Collins
0,28,1,D Belue
0,0,1,C Milstead
0,0,1,T Gray
0,0,1,S Maag
0,7,1,B Jones
0,26,1,J Bell
0,19,1,W Parks
0,5,2,J Halley
0,0,1,S Miller
0,0,2,B Abraham
0,4,1,R Darby
0,0,1,T Brooks
0,0,2,D Johnson
0,11,1,T Henderson
0,0,1,D Elliott
0,0,1,K Pierre Louis
0,0,1,I Lewis
0,7,1,C Ariguzo
0,15,1,D Roberts
0,45,1,K Mack
0,22,1,C Lester
0,23,2,H Kissinger
0,6,1,T Caldwell
0,-4,1,M Lane
0,15,1,I Goins
0,28,1,R Smith
0,25,1,J Kearse
0,6,1,A Crawford
0,8,1,J Baltazar
0,0,1,J Gibson
0,-3,1,K Lewis
0,0,1,K Williams
0,5,1,F Crawford
0,0,1,C Barnett
0,0,1,C Brown
0,7,1,T Carrie
0,3,1,G Lynn
0,0,1,A Colvin
0,34,1,A Patterson
0,9,1,B Lokombo
0,0,1,B Callahan
0,36,2,A McDonald
0,0,1,T Stewart
0,0,2,T Walker
0,0,1,D Lewis
0,70,1,C Gaines
0,0,1,B Benwikere
0,4,1,T Wright
0,0,1,E Wilkins
0,24,1,M Trice
0,18,1,J Jones
0,7,1,L Lee
0,20,1,K White
0,0,1,J Verrett
0,6,1,S Edmond
0,0,1,L Doss
0,0,1,D Monroe
0,0,1,J Sullen
0,64,1,W Barrow
0,0,1,D Walker Jr
0,26,1,H Matthews
0,11,1,N Askew
0,11,1,J Mastrogiovanni
0,32,1,K Ladler
0,29,1,J Iwuji
0,35,1,M Garner
0,54,1,S Cravens
0,16,1,J Shaw
0,2,1,L McQuay III
0,13,1,N Johnston
0,0,1,C Adams
0,0,2,A Harris
0,12,1,B Watts
0,3,3,K Fuller
0,0,1,D Nicolas
0,24,1,G Patterson
0,4,1,K Brown
0,0,1,J Cash
0,0,1,R Cockrell
0,0,1,T Robinson
0,0,1,B McCain
0,0,1,D Drane
0,0,1,T Stewart
0,7,2,M Trice
0,1,1,P Gaines
0,32,1,D Bucannon
0,0,1,R Nelson
0,41,1,R Murphy
0,17,1,K Seymour
0,0,1,J Shaw
0,0,1,D Bailey
0,24,1,J Robinson
0,2,1,M Durant
0,0,1,M Freeman
0,0,1,C McKinzy
0,49,1,M Asprilla
0,33,1,K Pierre Louis
0,0,1,J Grandon
0,0,1,J McKnight
0,0,1,D Deayon
0,17,3,D Smith
0,15,1,C Milstead
1,69,1,L Doss
0,0,1,C Thompson
0,0,1,P Williams
0,0,1,N Andrews
0,0,1,D Bush
0,0,1,R Jenkins
0,47,1,D Smith
0,0,1,B McClendon
0,20,1,T Robinson
0,0,1,C Thomas
0,0,1,J Thomas
0,8,1,T Miller
0,0,1,D Hillary
0,0,1,P Muldoon
0,41,1,D Roberts
0,39,1,D Johnson
0,0,1,T Zimmerman
0,22,1,D Barksdale
0,0,1,K Johnson
0,14,1,K Bishop
0,0,1,D Ware
0,0,1,D Dennard
0,17,1,R Taylor
0,15,1,E Gaines
0,0,1,B Webb
0,2,1,A Leggett
0,0,1,J Burris
0,2,1,T Scott
0,0,1,B Walker
0,25,1,A Moss
0,29,1,T Scott
0,14,1,C Ariguzo
0,0,1,C Ellis
0,0,1,D White
0,12,1,P Gaines
0,-1,1,B Clements
0,1,1,J Lucas
0,0,1,R Keiser
0,0,1,R Allen
0,33,1,D Grant
0,3,1,J Merrell
0,0,1,D Stephenson
0,0,1,S Young
0,12,1,C Elder
0,12,1,T Holloman
0,0,1,S Moore
0,0,1,V Harris
0,0,1,I Johnson
0,34,1,G Hooker
0,17,1,P Dawson
0,8,1,N Kwiatkoski
0,0,1,I Banks
0,12,2,I Johnson
1,93,2,T Wade
0,3,1,C Norrils
0,32,2,H Matthews
0,10,1,D Harris
0,21,1,P Robertson
0,15,1,K Ward
0,16,1,S Lewis
0,0,1,C Lavey
0,0,1,J Petty
1,40,1,S Roberts
0,0,1,P Vea
0,0,1,F Crawford
0,4,1,A Lopez
0,0,1,B Benwikere
0,99,1,K Fackrell
0,61,1,F Sutera
0,0,1,B Suite
0,27,1,T Woodard
0,0,1,A Harris
0,37,1,J Kearse
0,15,1,K Wiggins
0,0,1,T Carrie
0,0,1,C Dupuy
0,39,1,J Garrett
0,42,1,D Goodson
