defensive two point conversion, forced fumble, forced fumbles, fumble return touchdowns, fumble return yards, interception return touchdowns, interceptions, name, sacks, safeties, tackle assists, tackles
,,0,0,,0,0,DJ Hayden,0.000,0,1.000,3
,,0,0,,0,0,Khalil Mack,0.000,0,1.000,3
,,0,0,,0,0,Justin Tuck,0.000,0,2.000,3
,,0,0,,0,0,Dan Williams,0.000,0,1.000,3
,,0,0,,0,0,Ray Ray Armstrong,0.000,0,1.000,2
,,0,0,,0,0,Curtis Lofton,0.000,0,1.000,1
,,0,0,,0,0,Aldon Smith,0.000,0,1.000,1
,,0,0,,0,0,Nate Allen,0.000,0,1.000,0
,,1,0,,0,0,Adam Jones,0.000,0,0.000,10
,,0,0,,0,0,Vincent Rey,0.000,0,3.000,6
,,0,0,,0,0,Rey Maualuga,0.000,0,3.000,4
,,0,0,,0,0,Darqueze Dennard,0.000,0,0.000,3
,,1,0,,0,0,Geno Atkins,1.000,0,0.000,2
,,0,0,,0,0,Chris Carter,0.000,0,1.000,2
,,0,0,,0,0,Leon Hall,0.000,0,1.000,2
,,0,0,,0,0,Dre Kirkpatrick,0.000,0,0.000,2
,,0,0,,0,0,Shawn Williams,0.000,0,0.000,2
,,0,0,,0,0,Carlos Dunlap,1.000,0,1.000,1
,,0,0,,0,0,AJ Hawk,0.000,0,3.000,1
,,0,0,,0,0,George Iloka,0.000,0,1.000,1
,,0,0,,0,0,Michael Johnson,0.000,0,0.000,1
,,0,0,,0,0,Emmanuel Lamur,0.000,0,1.000,1
,,0,0,,0,0,PJ Dawson,0.000,0,1.000,0
,,0,0,,0,1,Reggie Nelson,0.000,0,0.000,0
,,0,0,,0,0,Pat Sims,0.000,0,1.000,0
,,0,0,,0,0,Lamarcus Joyner,1.000,0,0.000,7
,,0,0,,0,0,Aaron Donald,2.000,0,4.000,5
,,0,0,,0,0,Janoris Jenkins,0.000,0,1.000,5
,,0,0,,0,0,Alec Ogletree,0.000,0,2.000,5
,,0,0,,0,0,Marcus Roberson,0.000,0,0.000,5
,,0,0,,0,0,James Laurinaitis,0.000,0,3.000,4
,,0,0,,0,0,William Hayes,0.000,0,1.000,3
,,0,0,,0,1,Trumaine Johnson,0.000,0,0.000,3
,,0,0,,0,0,TJ McDonald,0.000,0,2.000,3
,,0,0,,0,0,Rodney McLeod,0.000,0,3.000,3
,,0,0,,0,0,Robert Quinn,2.000,0,2.000,3
,,0,0,,0,0,Akeem Ayers,0.000,0,0.000,2
,,0,0,,0,0,Mark Barron,0.000,0,3.000,2
,,0,0,,0,0,Michael Brockers,0.000,0,6.000,1
,,0,0,,0,0,Chris Long,0.000,0,2.000,1
,,0,0,,0,0,Eugene Sims,1.000,0,1.000,1
,,0,0,,0,0,Nick Fairley,0.000,0,1.000,0
,,1,0,,0,0,Earl Thomas,0.000,0,3.000,6
,,0,0,,0,0,Bobby Wagner,0.000,0,2.000,5
,,0,0,,0,0,Michael Bennett,1.000,0,0.000,4
,,0,0,,0,0,Dion Bailey,0.000,0,1.000,3
,,1,1,,0,0,Cary Williams,1.000,0,0.000,3
,,0,0,,0,0,KJ Wright,0.000,0,1.000,3
,,0,0,,0,0,Cliff Avril,0.000,0,0.000,2
,,0,0,,0,0,Bruce Irvin,0.000,0,2.000,2
,,0,0,,0,0,Ahtyba Rubin,0.000,0,1.000,2
,,0,0,,0,0,Richard Sherman,0.000,0,1.000,2
,,0,0,,0,0,Jordan Hill,0.000,0,0.000,1
,,0,0,,0,0,Cassius Marsh,0.000,0,1.000,1
,,0,0,,0,0,Brandon Mebane,0.000,0,0.000,1
,,0,0,,0,0,Dashon Goldson,0.000,0,0.000,6
,,0,0,,0,0,DeAngelo Hall,0.000,0,2.000,6
,,0,0,,0,0,Trenton Robinson,0.000,0,2.000,6
,,0,0,,0,0,Jason Hatcher,1.000,0,1.000,3
,,0,0,,0,0,Keenan Robinson,0.000,0,2.000,3
,,0,0,,0,0,David Amerson,0.000,0,0.000,2
,,0,0,,0,0,Duke Ihenacho,0.000,0,2.000,1
,,0,0,,0,0,Ryan Kerrigan,0.500,0,1.000,1
,,0,0,,0,0,Terrance Knighton,0.000,0,0.000,1
,,0,0,,0,0,Perry Riley,0.000,0,2.000,1
,,0,0,,0,0,Justin Rogers,0.000,0,3.000,1
,,1,0,,0,0,Preston Smith,1.000,0,0.000,1
,,0,0,,0,0,Chris Baker,0.500,0,3.000,0
,,0,0,,0,0,Chris Culliver,0.000,0,1.000,0
,,0,0,,0,0,Trent Murphy,0.000,0,3.000,0
,,0,0,,0,0,Koa Misi,0.000,0,2.000,9
,,0,0,,0,0,Jelani Jenkins,0.000,0,4.000,7
,,0,0,,0,0,Reshad Jones,0.000,0,5.000,7
,,0,0,,0,0,Jamar Taylor,0.000,0,3.000,6
,,0,0,,0,0,Terrence Fede,0.000,0,2.000,4
,,0,0,,0,0,Earl Mitchell,0.000,0,1.000,3
,,0,0,,0,0,Kelvin Sheppard,0.000,0,2.000,3
,,0,0,,0,1,Brice McCain,0.000,0,4.000,2
,,0,0,,0,0,Walt Aikens,0.000,0,0.000,2
,,0,0,,0,1,Brent Grimes,0.000,0,1.000,1
,,0,0,,0,0,CJ Mosley,0.000,0,0.000,1
,,0,0,,0,0,Jordan Phillips,1.000,0,0.000,1
,,0,0,,0,0,Ndamukong Suh,0.000,0,1.000,1
,,0,0,,0,0,Michael Thomas,0.000,0,0.000,1
,,0,0,,0,0,Zach Vigil,0.000,0,0.000,1
,,0,0,,0,0,Derrick Shelby,0.000,0,1.000,0
,,0,0,,0,0,JJ Watt,2.000,0,0.000,9
,,0,0,,0,0,Brian Cushing,0.000,0,4.000,6
,,0,0,,0,0,Kareem Jackson,0.000,0,0.000,6
,,0,0,,0,0,Quintin Demps,0.000,0,1.000,4
,,0,0,,0,0,Johnathan Joseph,0.000,0,0.000,4
,,0,0,,0,0,Jadeveon Clowney,0.000,0,1.000,3
,,0,0,,0,0,Jared Crick,0.000,0,0.000,3
,,0,0,,0,0,Akeem Dent,0.000,0,1.000,3
,,0,0,,0,0,John Simon,0.000,0,2.000,2
,,0,0,,0,0,AJ Bouye,0.000,0,0.000,1
,,0,0,,0,0,Andre Hal,0.000,0,0.000,1
,,0,0,,0,0,Kevin Johnson,0.000,0,0.000,1
,,0,0,,0,0,Whitney Mercilus,0.000,0,1.000,1
,,0,0,,0,0,Rahim Moore,0.000,0,2.000,1
,,0,0,,0,0,Eddie Pleasant,0.000,0,0.000,1
,,0,0,,0,0,Jamell Fleming,0.000,0,0.000,7
,,0,0,,0,0,Husain Abdullah,0.000,0,1.000,6
,,0,0,,0,0,Derrick Johnson,1.000,0,2.000,6
,,0,0,,0,1,Marcus Peters,0.000,0,2.000,5
,,0,0,,0,0,Allen Bailey,2.000,0,1.000,3
