deflections, interceptions, name, sacks, tackles
0,0,R Myles,0.000,3
0,0,R Phillips,0.000,3
0,0,K Banks,0.000,5
0,2,D Marsh,0.000,3
0,0,B Johnson,2.000,1
0,0,J Johnson,0.000,5
0,0,T Williams,0.000,7
0,0,L Green,0.000,1
0,0,O Floyd,0.000,1
0,0,K Hill,0.000,1
0,0,L Glover,0.000,1
0,0,A Hunt,0.000,1
0,1,T Crawford,0.000,1
0,0,J Glatt,0.000,2
0,0,J Pottinger,0.000,2
0,0,C Wake,1.000,2
0,1,B Robinson,0.000,2
0,0,J Romeo,0.000,4
0,0,B Ralph,0.000,2
0,0,A Barrenechea,0.000,3
0,1,S Shabazz,0.000,6
0,0,J Goss,0.000,4
0,0,T Jackson,0.000,5
0,0,T Clutts,0.000,1
0,0,S Garrett,0.000,1
0,0,T Young,0.000,1
0,0,B Guillory,0.000,1
0,0,K Onatolu,0.000,1
0,0,A Harris,0.000,1
0,0,C McCarty,0.000,1
0,0,J Buhl,1.000,1
0,0,C Armstrong,0.000,1
0,0,J Johnson,0.000,2
0,0,D Brown,1.000,2
0,0,W Amos,0.000,3
0,0,A Malbrough,1.000,2
0,0,J Haywood,0.000,1
0,0,S Samuels,0.000,1
0,1,T Canada,0.000,1
0,0,I Charlton,0.000,1
0,0,A Hargreaves,0.000,1
0,0,C Hall,0.000,4
0,0,J Lobendahn,0.000,6
0,0,K Malveaux,1.000,6
0,0,G Walls,1.000,7
0,1,Z Moreno,0.000,8
0,0,M Knowlton,0.000,6
0,0,J Bradley,0.000,4
0,0,R Robinson,0.000,4
0,0,R Mariuz,0.000,3
0,0,R Glasper,0.000,3
0,0,T Patrick,0.000,3
0,0,L Gordon,0.000,3
0,0,P Rodriguez,0.000,1
0,1,C Thompson,0.000,2
0,0,D Adams,0.000,3
0,0,C Anthony,0.000,3
0,0,T Caulley,0.000,1
0,0,S Manning,0.000,1
0,0,S Beveridge,0.000,1
0,0,N McKay Loescher,0.000,1
0,0,M Murphy,0.000,1
0,0,T Clutts,0.000,1
0,0,S Garrett,0.000,1
0,0,K Campbell,0.000,1
0,0,J Anoai,0.000,2
0,0,B Robinson,0.000,2
0,0,T Young,0.000,2
0,0,A Barrenechea,0.000,3
0,0,S Shabazz,0.000,3
0,0,J Goss,0.000,3
0,0,J Romeo,2.000,3
0,0,J Buhl,0.000,4
0,0,K Onatolu,0.000,5
0,0,K Shologan,0.000,2
0,0,R Williams,0.000,2
0,0,O Morgan,0.000,2
0,0,M McCullough,0.000,1
0,0,S Williams,0.000,4
0,0,S Schultz,1.000,3
0,0,J Johnson,0.000,3
0,1,L Frazier,0.000,2
0,0,M Lloyd,0.000,5
0,0,S Lucas,0.000,5
0,0,K Jones,0.000,4
0,0,E Davis,0.000,4
0,0,A McKenzie,0.000,5
0,0,S Gordon,0.000,1
0,0,L Mullinder,0.000,1
0,0,J Johnson,0.000,7
0,0,B Johnson,0.000,0
0,0,D Marsh,0.000,1
0,0,R Myles,0.000,1
0,0,L Glover,0.000,1
0,0,R Foley,1.000,1
0,0,R Murphy,0.000,1
0,0,R Phillips,0.000,2
0,0,A Hunt,1.000,1
0,0,C Wake,1.000,2
0,1,K Banks,0.000,2
0,0,J Glatt,0.000,4
0,0,T Williams,0.000,3
0,0,B Miles,0.000,7
0,0,O Floyd,0.000,4
0,0,M Grootegoed,0.000,1
0,0,J Simpson,0.000,1
0,0,M Parker,0.000,2
0,0,J Battle,0.000,2
0,1,W Lysack,0.000,2
0,0,S James,0.000,4
0,0,D Anderson,0.000,4
0,0,J Armour,0.000,5
0,0,M Labinjo,1.000,5
0,0,C Bannister,0.000,6
0,0,C Hughes,1.000,7
0,0,C Cox,0.000,2
0,0,J Bowman,0.000,2
0,0,C Smith,0.000,2
0,0,D Sanchez,0.000,2
0,0,J Perrett,0.000,1
0,0,M Proulx,0.000,1
0,0,A Stewart,0.000,1
0,0,E Wilson,0.000,1
0,0,R Kizer,0.000,7
0,1,M Estelle,0.000,8
0,0,R Hunt,0.000,4
0,0,D Ferri,0.000,5
0,0,E Boulay,0.000,4
0,0,D Claybrooks,0.000,4
0,1,P Woldu,0.000,3
0,0,T Hill,0.000,4
0,0,S Emry,0.000,0
